Year	Province	What kind of rates	rates in % 
2020-03	Canada	Unemployment rate	6.3
2020-03	Newfoundland and Labrador	Unemployment rate	11.8
2020-03	"St. John's, Newfoundland and Labrador"	Unemployment rate	8.3
2020-03	Prince Edward Island	Unemployment rate	8.1
2020-03	Nova Scotia	Unemployment rate	8
2020-03	"Halifax, Nova Scotia"	Unemployment rate	6.8
2020-03	New Brunswick	Unemployment rate	7.7
2020-03	"Moncton, New Brunswick"	Unemployment rate	5.7
2020-03	"Saint John, New Brunswick"	Unemployment rate	7.3
2020-03	Quebec	Unemployment rate	5.9
2020-03	"Saguenay, Quebec"	Unemployment rate	6.5
2020-03	"Québec, Quebec"	Unemployment rate	5.5
2020-03	"Sherbrooke, Quebec"	Unemployment rate	5.4
2020-03	"Trois-Rivières, Quebec"	Unemployment rate	6.3
2020-03	"Montréal, Quebec"	Unemployment rate	6.4
2020-03	Ontario	Unemployment rate	6.1
2020-03	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	5.1
2020-03	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	5.8
2020-03	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	4.9
2020-03	"Kingston, Ontario"	Unemployment rate	5.7
2020-03	"Peterborough, Ontario"	Unemployment rate	6.7
2020-03	"Oshawa, Ontario"	Unemployment rate	7.8
2020-03	"Toronto, Ontario"	Unemployment rate	6
2020-03	"Hamilton, Ontario"	Unemployment rate	5.7
2020-03	"St. Catharines-Niagara, Ontario"	Unemployment rate	7.8
2020-03	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	6
2020-03	"Brantford, Ontario"	Unemployment rate	5.9
2020-03	"Guelph, Ontario"	Unemployment rate	5.3
2020-03	"London, Ontario"	Unemployment rate	5.8
2020-03	"Windsor, Ontario"	Unemployment rate	10.5
2020-03	"Barrie, Ontario"	Unemployment rate	5.7
2020-03	"Greater Sudbury, Ontario"	Unemployment rate	5.6
2020-03	"Thunder Bay, Ontario"	Unemployment rate	6.1
2020-03	Manitoba	Unemployment rate	5.5
2020-03	"Winnipeg, Manitoba"	Unemployment rate	5.5
2020-03	Saskatchewan	Unemployment rate	6.5
2020-03	"Regina, Saskatchewan"	Unemployment rate	7.2
2020-03	"Saskatoon, Saskatchewan"	Unemployment rate	7.1
2020-03	Alberta	Unemployment rate	7.7
2020-03	"Calgary, Alberta"	Unemployment rate	8.6
2020-03	"Edmonton, Alberta"	Unemployment rate	7.9
2020-03	British Columbia	Unemployment rate	5.6
2020-03	"Kelowna, British Columbia"	Unemployment rate	5.9
2020-03	"Abbotsford-Mission, British Columbia"	Unemployment rate	4.6
2020-03	"Vancouver, British Columbia"	Unemployment rate	5.3
2020-03	"Victoria, British Columbia"	Unemployment rate	4.6
2020-04	Canada	Unemployment rate	8.7
2020-04	Newfoundland and Labrador	Unemployment rate	13.1
2020-04	"St. John's, Newfoundland and Labrador"	Unemployment rate	9.7
2020-04	Prince Edward Island	Unemployment rate	9.1
2020-04	Nova Scotia	Unemployment rate	9.5
2020-04	"Halifax, Nova Scotia"	Unemployment rate	8.9
2020-04	New Brunswick	Unemployment rate	9.5
2020-04	"Moncton, New Brunswick"	Unemployment rate	7
2020-04	"Saint John, New Brunswick"	Unemployment rate	9.5
2020-04	Quebec	Unemployment rate	9.7
2020-04	"Saguenay, Quebec"	Unemployment rate	11.1
2020-04	"Québec, Quebec"	Unemployment rate	9.5
2020-04	"Sherbrooke, Quebec"	Unemployment rate	9.2
2020-04	"Trois-Rivières, Quebec"	Unemployment rate	9.8
2020-04	"Montréal, Quebec"	Unemployment rate	10.5
2020-04	Ontario	Unemployment rate	8
2020-04	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	6.9
2020-04	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	8.9
2020-04	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	6.3
2020-04	"Kingston, Ontario"	Unemployment rate	7.9
2020-04	"Peterborough, Ontario"	Unemployment rate	7.7
2020-04	"Oshawa, Ontario"	Unemployment rate	8.5
2020-04	"Toronto, Ontario"	Unemployment rate	7.9
2020-04	"Hamilton, Ontario"	Unemployment rate	7.5
2020-04	"St. Catharines-Niagara, Ontario"	Unemployment rate	9.9
2020-04	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	7.8
2020-04	"Brantford, Ontario"	Unemployment rate	9.4
2020-04	"Guelph, Ontario"	Unemployment rate	8.6
2020-04	"London, Ontario"	Unemployment rate	8.9
2020-04	"Windsor, Ontario"	Unemployment rate	12.9
2020-04	"Barrie, Ontario"	Unemployment rate	9.1
2020-04	"Greater Sudbury, Ontario"	Unemployment rate	6.8
2020-04	"Thunder Bay, Ontario"	Unemployment rate	8.3
2020-04	Manitoba	Unemployment rate	7.5
2020-04	"Winnipeg, Manitoba"	Unemployment rate	7.7
2020-04	Saskatchewan	Unemployment rate	8.2
2020-04	"Regina, Saskatchewan"	Unemployment rate	8.6
2020-04	"Saskatoon, Saskatchewan"	Unemployment rate	9.8
2020-04	Alberta	Unemployment rate	9.6
2020-04	"Calgary, Alberta"	Unemployment rate	10.8
2020-04	"Edmonton, Alberta"	Unemployment rate	10
2020-04	British Columbia	Unemployment rate	7.8
2020-04	"Kelowna, British Columbia"	Unemployment rate	8.1
2020-04	"Abbotsford-Mission, British Columbia"	Unemployment rate	5.9
2020-04	"Vancouver, British Columbia"	Unemployment rate	7.5
2020-04	"Victoria, British Columbia"	Unemployment rate	7.2
2020-05	Canada	Unemployment rate	11.5
2020-05	Newfoundland and Labrador	Unemployment rate	14.6
2020-05	"St. John's, Newfoundland and Labrador"	Unemployment rate	10.5
2020-05	Prince Edward Island	Unemployment rate	11
2020-05	Nova Scotia	Unemployment rate	11.5
2020-05	"Halifax, Nova Scotia"	Unemployment rate	10.5
2020-05	New Brunswick	Unemployment rate	11.6
2020-05	"Moncton, New Brunswick"	Unemployment rate	8.8
2020-05	"Saint John, New Brunswick"	Unemployment rate	11.1
2020-05	Quebec	Unemployment rate	12.9
2020-05	"Saguenay, Quebec"	Unemployment rate	13.3
2020-05	"Québec, Quebec"	Unemployment rate	11.9
2020-05	"Sherbrooke, Quebec"	Unemployment rate	10.9
2020-05	"Trois-Rivières, Quebec"	Unemployment rate	13
2020-05	"Montréal, Quebec"	Unemployment rate	14
2020-05	Ontario	Unemployment rate	10.8
2020-05	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	8.4
2020-05	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	11
2020-05	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	7.7
2020-05	"Kingston, Ontario"	Unemployment rate	10.8
2020-05	"Peterborough, Ontario"	Unemployment rate	9.5
2020-05	"Oshawa, Ontario"	Unemployment rate	10.1
2020-05	"Toronto, Ontario"	Unemployment rate	11.2
2020-05	"Hamilton, Ontario"	Unemployment rate	10.3
2020-05	"St. Catharines-Niagara, Ontario"	Unemployment rate	12.6
2020-05	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	10.3
2020-05	"Brantford, Ontario"	Unemployment rate	11.3
2020-05	"Guelph, Ontario"	Unemployment rate	12.9
2020-05	"London, Ontario"	Unemployment rate	11.7
2020-05	"Windsor, Ontario"	Unemployment rate	16.7
2020-05	"Barrie, Ontario"	Unemployment rate	11.6
2020-05	"Greater Sudbury, Ontario"	Unemployment rate	8.4
2020-05	"Thunder Bay, Ontario"	Unemployment rate	10.4
2020-05	Manitoba	Unemployment rate	9.6
2020-05	"Winnipeg, Manitoba"	Unemployment rate	10.3
2020-05	Saskatchewan	Unemployment rate	10.3
2020-05	"Regina, Saskatchewan"	Unemployment rate	10.6
2020-05	"Saskatoon, Saskatchewan"	Unemployment rate	12.4
2020-05	Alberta	Unemployment rate	12.5
2020-05	"Calgary, Alberta"	Unemployment rate	13.4
2020-05	"Edmonton, Alberta"	Unemployment rate	13.6
2020-05	British Columbia	Unemployment rate	10.7
2020-05	"Kelowna, British Columbia"	Unemployment rate	9.6
2020-05	"Abbotsford-Mission, British Columbia"	Unemployment rate	7.5
2020-05	"Vancouver, British Columbia"	Unemployment rate	10.7
2020-05	"Victoria, British Columbia"	Unemployment rate	10.1
2020-06	Canada	Unemployment rate	13
2020-06	Newfoundland and Labrador	Unemployment rate	16.2
2020-06	"St. John's, Newfoundland and Labrador"	Unemployment rate	11.6
2020-06	Prince Edward Island	Unemployment rate	13.3
2020-06	Nova Scotia	Unemployment rate	12.8
2020-06	"Halifax, Nova Scotia"	Unemployment rate	11.9
2020-06	New Brunswick	Unemployment rate	11.9
2020-06	"Moncton, New Brunswick"	Unemployment rate	9.1
2020-06	"Saint John, New Brunswick"	Unemployment rate	11.5
2020-06	Quebec	Unemployment rate	13.8
2020-06	"Saguenay, Quebec"	Unemployment rate	12.9
2020-06	"Québec, Quebec"	Unemployment rate	11.9
2020-06	"Sherbrooke, Quebec"	Unemployment rate	11.6
2020-06	"Trois-Rivières, Quebec"	Unemployment rate	12.6
2020-06	"Montréal, Quebec"	Unemployment rate	15.1
2020-06	Ontario	Unemployment rate	12.4
2020-06	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	9.5
2020-06	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	11
2020-06	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	9
2020-06	"Kingston, Ontario"	Unemployment rate	12.4
2020-06	"Peterborough, Ontario"	Unemployment rate	9.5
2020-06	"Oshawa, Ontario"	Unemployment rate	11.8
2020-06	"Toronto, Ontario"	Unemployment rate	13.6
2020-06	"Hamilton, Ontario"	Unemployment rate	12.1
2020-06	"St. Catharines-Niagara, Ontario"	Unemployment rate	12.9
2020-06	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	12.2
2020-06	"Brantford, Ontario"	Unemployment rate	12.6
2020-06	"Guelph, Ontario"	Unemployment rate	14.9
2020-06	"London, Ontario"	Unemployment rate	12.6
2020-06	"Windsor, Ontario"	Unemployment rate	15.2
2020-06	"Barrie, Ontario"	Unemployment rate	10.8
2020-06	"Greater Sudbury, Ontario"	Unemployment rate	9.4
2020-06	"Thunder Bay, Ontario"	Unemployment rate	11.1
2020-06	Manitoba	Unemployment rate	10.9
2020-06	"Winnipeg, Manitoba"	Unemployment rate	11.7
2020-06	Saskatchewan	Unemployment rate	11.8
2020-06	"Regina, Saskatchewan"	Unemployment rate	11.6
2020-06	"Saskatoon, Saskatchewan"	Unemployment rate	14.1
2020-06	Alberta	Unemployment rate	14.8
2020-06	"Calgary, Alberta"	Unemployment rate	15.6
2020-06	"Edmonton, Alberta"	Unemployment rate	15.7
2020-06	British Columbia	Unemployment rate	12.7
2020-06	"Kelowna, British Columbia"	Unemployment rate	10.2
2020-06	"Abbotsford-Mission, British Columbia"	Unemployment rate	8.8
2020-06	"Vancouver, British Columbia"	Unemployment rate	13.1
2020-06	"Victoria, British Columbia"	Unemployment rate	11
2020-07	Canada	Unemployment rate	12.3
2020-07	Newfoundland and Labrador	Unemployment rate	16.1
2020-07	"St. John's, Newfoundland and Labrador"	Unemployment rate	11.7
2020-07	Prince Edward Island	Unemployment rate	13.6
2020-07	Nova Scotia	Unemployment rate	12.4
2020-07	"Halifax, Nova Scotia"	Unemployment rate	10.9
2020-07	New Brunswick	Unemployment rate	10.8
2020-07	"Moncton, New Brunswick"	Unemployment rate	8.2
2020-07	"Saint John, New Brunswick"	Unemployment rate	9.8
2020-07	Quebec	Unemployment rate	11.3
2020-07	"Saguenay, Quebec"	Unemployment rate	8.3
2020-07	"Québec, Quebec"	Unemployment rate	8.6
2020-07	"Sherbrooke, Quebec"	Unemployment rate	8.7
2020-07	"Trois-Rivières, Quebec"	Unemployment rate	9.8
2020-07	"Montréal, Quebec"	Unemployment rate	13
2020-07	Ontario	Unemployment rate	12.4
2020-07	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	9.1
2020-07	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	9.1
2020-07	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	9.2
2020-07	"Kingston, Ontario"	Unemployment rate	11.3
2020-07	"Peterborough, Ontario"	Unemployment rate	10.6
2020-07	"Oshawa, Ontario"	Unemployment rate	12.4
2020-07	"Toronto, Ontario"	Unemployment rate	14.7
2020-07	"Hamilton, Ontario"	Unemployment rate	11.3
2020-07	"St. Catharines-Niagara, Ontario"	Unemployment rate	12.5
2020-07	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	12.9
2020-07	"Brantford, Ontario"	Unemployment rate	10.6
2020-07	"Guelph, Ontario"	Unemployment rate	13.8
2020-07	"London, Ontario"	Unemployment rate	10.5
2020-07	"Windsor, Ontario"	Unemployment rate	12.5
2020-07	"Barrie, Ontario"	Unemployment rate	9.7
2020-07	"Greater Sudbury, Ontario"	Unemployment rate	9.2
2020-07	"Thunder Bay, Ontario"	Unemployment rate	10.3
2020-07	Manitoba	Unemployment rate	9.8
2020-07	"Winnipeg, Manitoba"	Unemployment rate	11.1
2020-07	Saskatchewan	Unemployment rate	10.9
2020-07	"Regina, Saskatchewan"	Unemployment rate	10.5
2020-07	"Saskatoon, Saskatchewan"	Unemployment rate	12.7
2020-07	Alberta	Unemployment rate	14.6
2020-07	"Calgary, Alberta"	Unemployment rate	15.5
2020-07	"Edmonton, Alberta"	Unemployment rate	15
2020-07	British Columbia	Unemployment rate	12.5
2020-07	"Kelowna, British Columbia"	Unemployment rate	10
2020-07	"Abbotsford-Mission, British Columbia"	Unemployment rate	8.3
2020-07	"Vancouver, British Columbia"	Unemployment rate	13.3
2020-07	"Victoria, British Columbia"	Unemployment rate	11.1
2020-08	Canada	Unemployment rate	11.1
2020-08	Newfoundland and Labrador	Unemployment rate	15.1
2020-08	"St. John's, Newfoundland and Labrador"	Unemployment rate	10.5
2020-08	Prince Edward Island	Unemployment rate	12.5
2020-08	Nova Scotia	Unemployment rate	11.4
2020-08	"Halifax, Nova Scotia"	Unemployment rate	10.1
2020-08	New Brunswick	Unemployment rate	9.7
2020-08	"Moncton, New Brunswick"	Unemployment rate	7
2020-08	"Saint John, New Brunswick"	Unemployment rate	9.7
2020-08	Quebec	Unemployment rate	9.6
2020-08	"Saguenay, Quebec"	Unemployment rate	6.3
2020-08	"Québec, Quebec"	Unemployment rate	6.3
2020-08	"Sherbrooke, Quebec"	Unemployment rate	8.2
2020-08	"Trois-Rivières, Quebec"	Unemployment rate	7.6
2020-08	"Montréal, Quebec"	Unemployment rate	11.8
2020-08	Ontario	Unemployment rate	11.4
2020-08	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	9.2
2020-08	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	8.1
2020-08	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	9.5
2020-08	"Kingston, Ontario"	Unemployment rate	10.1
2020-08	"Peterborough, Ontario"	Unemployment rate	10
2020-08	"Oshawa, Ontario"	Unemployment rate	11.4
2020-08	"Toronto, Ontario"	Unemployment rate	13.9
2020-08	"Hamilton, Ontario"	Unemployment rate	10
2020-08	"St. Catharines-Niagara, Ontario"	Unemployment rate	11.3
2020-08	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	12.9
2020-08	"Brantford, Ontario"	Unemployment rate	9.8
2020-08	"Guelph, Ontario"	Unemployment rate	11.1
2020-08	"London, Ontario"	Unemployment rate	9.3
2020-08	"Windsor, Ontario"	Unemployment rate	10.1
2020-08	"Barrie, Ontario"	Unemployment rate	9.2
2020-08	"Greater Sudbury, Ontario"	Unemployment rate	8.6
2020-08	"Thunder Bay, Ontario"	Unemployment rate	9.2
2020-08	Manitoba	Unemployment rate	8.8
2020-08	"Winnipeg, Manitoba"	Unemployment rate	10.4
2020-08	Saskatchewan	Unemployment rate	9.4
2020-08	"Regina, Saskatchewan"	Unemployment rate	9.3
2020-08	"Saskatoon, Saskatchewan"	Unemployment rate	10.8
2020-08	Alberta	Unemployment rate	13.4
2020-08	"Calgary, Alberta"	Unemployment rate	14.4
2020-08	"Edmonton, Alberta"	Unemployment rate	13.6
2020-08	British Columbia	Unemployment rate	11.6
2020-08	"Kelowna, British Columbia"	Unemployment rate	9
2020-08	"Abbotsford-Mission, British Columbia"	Unemployment rate	8.2
2020-08	"Vancouver, British Columbia"	Unemployment rate	12.8
2020-08	"Victoria, British Columbia"	Unemployment rate	10.3
2020-09	Canada	Unemployment rate	10
2020-09	Newfoundland and Labrador	Unemployment rate	14.5
2020-09	"St. John's, Newfoundland and Labrador"	Unemployment rate	9.8
2020-09	Prince Edward Island	Unemployment rate	10.9
2020-09	Nova Scotia	Unemployment rate	9.6
2020-09	"Halifax, Nova Scotia"	Unemployment rate	8.4
2020-09	New Brunswick	Unemployment rate	9.9
2020-09	"Moncton, New Brunswick"	Unemployment rate	7.1
2020-09	"Saint John, New Brunswick"	Unemployment rate	10.1
2020-09	Quebec	Unemployment rate	8.5
2020-09	"Saguenay, Quebec"	Unemployment rate	5.4
2020-09	"Québec, Quebec"	Unemployment rate	5
2020-09	"Sherbrooke, Quebec"	Unemployment rate	7.4
2020-09	"Trois-Rivières, Quebec"	Unemployment rate	6.3
2020-09	"Montréal, Quebec"	Unemployment rate	10.7
2020-09	Ontario	Unemployment rate	10.5
2020-09	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	8.6
2020-09	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	8.1
2020-09	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	8.7
2020-09	"Kingston, Ontario"	Unemployment rate	9.1
2020-09	"Peterborough, Ontario"	Unemployment rate	11.2
2020-09	"Oshawa, Ontario"	Unemployment rate	9.6
2020-09	"Toronto, Ontario"	Unemployment rate	12.8
2020-09	"Hamilton, Ontario"	Unemployment rate	8.9
2020-09	"St. Catharines-Niagara, Ontario"	Unemployment rate	8.7
2020-09	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	12.2
2020-09	"Brantford, Ontario"	Unemployment rate	8.1
2020-09	"Guelph, Ontario"	Unemployment rate	9.6
2020-09	"London, Ontario"	Unemployment rate	8.9
2020-09	"Windsor, Ontario"	Unemployment rate	9.8
2020-09	"Barrie, Ontario"	Unemployment rate	9.4
2020-09	"Greater Sudbury, Ontario"	Unemployment rate	8.5
2020-09	"Thunder Bay, Ontario"	Unemployment rate	8.3
2020-09	Manitoba	Unemployment rate	7.8
2020-09	"Winnipeg, Manitoba"	Unemployment rate	9.4
2020-09	Saskatchewan	Unemployment rate	7.8
2020-09	"Regina, Saskatchewan"	Unemployment rate	7.4
2020-09	"Saskatoon, Saskatchewan"	Unemployment rate	9.2
2020-09	Alberta	Unemployment rate	12.1
2020-09	"Calgary, Alberta"	Unemployment rate	12.6
2020-09	"Edmonton, Alberta"	Unemployment rate	12.6
2020-09	British Columbia	Unemployment rate	10
2020-09	"Kelowna, British Columbia"	Unemployment rate	8
2020-09	"Abbotsford-Mission, British Columbia"	Unemployment rate	8
2020-09	"Vancouver, British Columbia"	Unemployment rate	11.1
2020-09	"Victoria, British Columbia"	Unemployment rate	9.1
2020-10	Canada	Unemployment rate	9.4
2020-10	Newfoundland and Labrador	Unemployment rate	13.6
2020-10	"St. John's, Newfoundland and Labrador"	Unemployment rate	8.8
2020-10	Prince Edward Island	Unemployment rate	10.3
2020-10	Nova Scotia	Unemployment rate	9
2020-10	"Halifax, Nova Scotia"	Unemployment rate	7.7
2020-10	New Brunswick	Unemployment rate	10
2020-10	"Moncton, New Brunswick"	Unemployment rate	8.3
2020-10	"Saint John, New Brunswick"	Unemployment rate	10
2020-10	Quebec	Unemployment rate	7.9
2020-10	"Saguenay, Quebec"	Unemployment rate	5
2020-10	"Québec, Quebec"	Unemployment rate	4.5
2020-10	"Sherbrooke, Quebec"	Unemployment rate	7
2020-10	"Trois-Rivières, Quebec"	Unemployment rate	6
2020-10	"Montréal, Quebec"	Unemployment rate	9.6
2020-10	Ontario	Unemployment rate	9.9
2020-10	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	8.1
2020-10	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	7.9
2020-10	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	8.2
2020-10	"Kingston, Ontario"	Unemployment rate	8.5
2020-10	"Peterborough, Ontario"	Unemployment rate	11.7
2020-10	"Oshawa, Ontario"	Unemployment rate	8.3
2020-10	"Toronto, Ontario"	Unemployment rate	11.5
2020-10	"Hamilton, Ontario"	Unemployment rate	9.2
2020-10	"St. Catharines-Niagara, Ontario"	Unemployment rate	7.5
2020-10	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	10.8
2020-10	"Brantford, Ontario"	Unemployment rate	7.2
2020-10	"Guelph, Ontario"	Unemployment rate	8.3
2020-10	"London, Ontario"	Unemployment rate	8.9
2020-10	"Windsor, Ontario"	Unemployment rate	10.8
2020-10	"Barrie, Ontario"	Unemployment rate	9.2
2020-10	"Greater Sudbury, Ontario"	Unemployment rate	7.9
2020-10	"Thunder Bay, Ontario"	Unemployment rate	7.6
2020-10	Manitoba	Unemployment rate	7.4
2020-10	"Winnipeg, Manitoba"	Unemployment rate	8.7
2020-10	Saskatchewan	Unemployment rate	7
2020-10	"Regina, Saskatchewan"	Unemployment rate	6.1
2020-10	"Saskatoon, Saskatchewan"	Unemployment rate	8.1
2020-10	Alberta	Unemployment rate	11.4
2020-10	"Calgary, Alberta"	Unemployment rate	11.3
2020-10	"Edmonton, Alberta"	Unemployment rate	12
2020-10	British Columbia	Unemployment rate	9
2020-10	"Kelowna, British Columbia"	Unemployment rate	6.2
2020-10	"Abbotsford-Mission, British Columbia"	Unemployment rate	8.6
2020-10	"Vancouver, British Columbia"	Unemployment rate	9.7
2020-10	"Victoria, British Columbia"	Unemployment rate	7.6
2020-11	Canada	Unemployment rate	8.8
2020-11	Newfoundland and Labrador	Unemployment rate	13.3
2020-11	"St. John's, Newfoundland and Labrador"	Unemployment rate	9.3
