Year	Province	What kind of rates	rates in % 
2020-11	Prince Edward Island	Unemployment rate	10.1
2020-11	Nova Scotia	Unemployment rate	7.7
2020-11	"Halifax, Nova Scotia"	Unemployment rate	6.6
2020-11	New Brunswick	Unemployment rate	10
2020-11	"Moncton, New Brunswick"	Unemployment rate	8.9
2020-11	"Saint John, New Brunswick"	Unemployment rate	10.2
2020-11	Quebec	Unemployment rate	7.4
2020-11	"Saguenay, Quebec"	Unemployment rate	5.2
2020-11	"Québec, Quebec"	Unemployment rate	4.3
2020-11	"Sherbrooke, Quebec"	Unemployment rate	6.4
2020-11	"Trois-Rivières, Quebec"	Unemployment rate	5.7
2020-11	"Montréal, Quebec"	Unemployment rate	8.5
2020-11	Ontario	Unemployment rate	9.4
2020-11	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	7.1
2020-11	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	7.2
2020-11	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	7.1
2020-11	"Kingston, Ontario"	Unemployment rate	7.2
2020-11	"Peterborough, Ontario"	Unemployment rate	11.9
2020-11	"Oshawa, Ontario"	Unemployment rate	7.9
2020-11	"Toronto, Ontario"	Unemployment rate	10.7
2020-11	"Hamilton, Ontario"	Unemployment rate	8
2020-11	"St. Catharines-Niagara, Ontario"	Unemployment rate	7.2
2020-11	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	9.1
2020-11	"Brantford, Ontario"	Unemployment rate	6.6
2020-11	"Guelph, Ontario"	Unemployment rate	7
2020-11	"London, Ontario"	Unemployment rate	8.4
2020-11	"Windsor, Ontario"	Unemployment rate	10.6
2020-11	"Barrie, Ontario"	Unemployment rate	10.6
2020-11	"Greater Sudbury, Ontario"	Unemployment rate	7.6
2020-11	"Thunder Bay, Ontario"	Unemployment rate	7.5
2020-11	Manitoba	Unemployment rate	7.2
2020-11	"Winnipeg, Manitoba"	Unemployment rate	8.1
2020-11	Saskatchewan	Unemployment rate	6.7
2020-11	"Regina, Saskatchewan"	Unemployment rate	5.4
2020-11	"Saskatoon, Saskatchewan"	Unemployment rate	7.8
2020-11	Alberta	Unemployment rate	11.2
2020-11	"Calgary, Alberta"	Unemployment rate	10.7
2020-11	"Edmonton, Alberta"	Unemployment rate	11.3
2020-11	British Columbia	Unemployment rate	7.8
2020-11	"Kelowna, British Columbia"	Unemployment rate	4.7
2020-11	"Abbotsford-Mission, British Columbia"	Unemployment rate	8.1
2020-11	"Vancouver, British Columbia"	Unemployment rate	8.1
2020-11	"Victoria, British Columbia"	Unemployment rate	6.3
2020-12	Canada	Unemployment rate	8.7
2020-12	Newfoundland and Labrador	Unemployment rate	12.5
2020-12	"St. John's, Newfoundland and Labrador"	Unemployment rate	8.7
2020-12	Prince Edward Island	Unemployment rate	10.1
2020-12	Nova Scotia	Unemployment rate	7.9
2020-12	"Halifax, Nova Scotia"	Unemployment rate	7.3
2020-12	New Brunswick	Unemployment rate	9.6
2020-12	"Moncton, New Brunswick"	Unemployment rate	9
2020-12	"Saint John, New Brunswick"	Unemployment rate	11
2020-12	Quebec	Unemployment rate	7.2
2020-12	"Saguenay, Quebec"	Unemployment rate	5.7
2020-12	"Québec, Quebec"	Unemployment rate	4.1
2020-12	"Sherbrooke, Quebec"	Unemployment rate	6
2020-12	"Trois-Rivières, Quebec"	Unemployment rate	5.9
2020-12	"Montréal, Quebec"	Unemployment rate	8.1
2020-12	Ontario	Unemployment rate	9.4
2020-12	"Ottawa-Gatineau, Ontario/Quebec"	Unemployment rate	6.7
2020-12	"Ottawa-Gatineau, Quebec part, Ontario/Quebec"	Unemployment rate	7
2020-12	"Ottawa-Gatineau, Ontario part, Ontario/Quebec"	Unemployment rate	6.6
2020-12	"Kingston, Ontario"	Unemployment rate	5.9
2020-12	"Peterborough, Ontario"	Unemployment rate	13.5
2020-12	"Oshawa, Ontario"	Unemployment rate	7.8
2020-12	"Toronto, Ontario"	Unemployment rate	10.7
2020-12	"Hamilton, Ontario"	Unemployment rate	8.1
2020-12	"St. Catharines-Niagara, Ontario"	Unemployment rate	9.1
2020-12	"Kitchener-Cambridge-Waterloo, Ontario"	Unemployment rate	8.5
2020-12	"Brantford, Ontario"	Unemployment rate	6.1
2020-12	"Guelph, Ontario"	Unemployment rate	5.8
2020-12	"London, Ontario"	Unemployment rate	7.7
2020-12	"Windsor, Ontario"	Unemployment rate	11.1
2020-12	"Barrie, Ontario"	Unemployment rate	12.1
2020-12	"Greater Sudbury, Ontario"	Unemployment rate	7.7
2020-12	"Thunder Bay, Ontario"	Unemployment rate	7.6
2020-12	Manitoba	Unemployment rate	7.6
2020-12	"Winnipeg, Manitoba"	Unemployment rate	8.4
2020-12	Saskatchewan	Unemployment rate	7
2020-12	"Regina, Saskatchewan"	Unemployment rate	6.3
2020-12	"Saskatoon, Saskatchewan"	Unemployment rate	8.1
2020-12	Alberta	Unemployment rate	10.9
2020-12	"Calgary, Alberta"	Unemployment rate	10.4
2020-12	"Edmonton, Alberta"	Unemployment rate	11.1
2020-12	British Columbia	Unemployment rate	7.4
2020-12	"Kelowna, British Columbia"	Unemployment rate	4.5
2020-12	"Abbotsford-Mission, British Columbia"	Unemployment rate	8.4
2020-12	"Vancouver, British Columbia"	Unemployment rate	7.4
2020-12	"Victoria, British Columbia"	Unemployment rate	5.8
